종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"188,500","3,000","1.62","7,518,697,000","3,258,016,281,000"
138930,BNK금융지주,"7,930","-50","0.63","10,099,592,280","2,584,666,500,780"
001040,CJ,"114,000","-1,500","1.30","11,152,515,500","3,326,177,772,000"
079160,CJ CGV,"32,100","-1,150","3.46","61,835,444,050","1,126,710,000,000"
000120,CJ대한통운,"170,000","1,500","0.89","7,908,763,000","3,878,098,480,000"
097950,CJ제일제당,"473,500","-4,000","0.84","22,449,284,000","7,128,157,071,000"
005830,DB손해보험,"51,900","700","1.37","10,033,073,900","3,674,520,000,000"
000990,DB하이텍,"56,600","2,800","5.20","144,746,024,500","2,512,960,080,800"
000210,DL,"83,800","-1,000","1.18","13,062,573,600","1,756,103,079,200"
375500,DL이앤씨,"139,000","1,000","0.72","18,399,213,000","2,690,864,582,000"
007700,F&F홀딩스,"39,200","150","0.38","8,412,365,800","303,352,532,000"
114090,GKL,"18,900","-150","0.79","7,160,107,450","1,169,072,163,000"
078930,GS,"48,050","-250","0.52","18,944,051,050","4,464,583,912,900"
006360,GS건설,"44,800","-600","1.32","36,749,885,150","3,829,990,886,400"
007070,GS리테일,"38,450","-550","1.41","23,706,649,450","2,960,650,000,000"
012630,HDC,"14,000","-300","2.10","9,599,943,250","836,384,094,000"
294870,HDC현대산업개발,"29,650","50","0.17","16,591,199,500","1,954,152,334,500"
011200,HMM,"47,350","100","0.21","327,257,495,550","16,354,334,259,450"
001060,JW중외제약,"29,200","-100","0.34","1,160,035,650","628,965,839,200"
105560,KB금융,"58,300","-600","1.02","69,992,183,100","24,241,601,736,000"
002380,KCC,"320,000","-5,500","1.69","13,876,864,500","2,843,670,720,000"
016380,KG동부제철,"19,450","-550","2.75","7,309,713,400","1,945,173,046,650"
030200,KT,"33,700","50","0.15","34,894,987,900","8,799,467,929,600"
033780,KT&G,"83,800","-1,200","1.41","58,817,348,700","11,505,111,248,600"
003550,LG,"102,000","1,500","1.49","34,050,745,000","16,044,701,286,000"
034220,LG디스플레이,"23,950","-150","0.62","62,911,731,250","8,569,686,015,000"
001120,LG상사,"31,000","-300","0.96","9,333,469,900","1,201,560,000,000"
051900,LG생활건강,"1,521,000","-7,000","0.46","47,853,216,000","23,755,277,637,000"
032640,LG유플러스,"15,750","100","0.64","40,523,756,550","6,876,628,935,750"
011070,LG이노텍,"210,000","7,500","3.70","57,120,063,500","4,970,092,470,000"
066570,LG전자,"154,500","3,000","1.98","178,790,789,500","25,283,587,263,000"
108670,LG하우시스,"99,700","1,800","1.84","25,941,314,700","894,076,699,000"
